"","ZIP","NUMB","ZIP_END","lng_start","lat_start","lng_end","lat_end","distance_metres","zip_tot_dist","distance_reed_pdx","RPK","portland_native"
"37","02468",1,"97218",-71.23,42.33,-122.59,45.58,4061006.91300961,4061006.91300961,"20.9215","90","no"
"38","02472",1,"97218",-71.18,42.37,-122.59,45.58,4063040.74028253,4063040.74028253,"20.9215","90","no"
"39","02474",1,"97218",-71.16,42.42,-122.59,45.58,4062371.13529424,4062371.13529424,"20.9215","90","no"
"40","02476",1,"97218",-71.18,42.42,-122.59,45.58,4060858.80408891,4060858.80408891,"20.9215","90","no"
"41","02478",1,"97218",-71.18,42.4,-122.59,45.58,4061730.91161405,4061730.91161405,"20.9215","90","no"
"42","02536",1,"97218",-70.56,41.6,-122.59,45.58,4144436.63890964,4144436.63890964,"20.9215","90","no"
"43","02632",1,"97218",-70.35,41.66,-122.59,45.58,4157633.82534056,4157633.82534056,"20.9215","90","no"
"44","02720",1,"97218",-71.1,41.72,-122.59,45.58,4097984.0256419,4097984.0256419,"20.9215","90","no"
"45","02740",1,"97218",-70.94,41.64,-122.59,45.58,4113758.91025594,4113758.91025594,"20.9215","90","no"
"46","02889",1,"97218",-71.39,41.7,-122.59,45.58,4076854.42827692,4076854.42827692,"20.9215","90","no"
"47","02905",1,"97218",-71.4,41.79,-122.59,45.58,4072047.45972255,4072047.45972255,"20.9215","90","no"
"48","02906",1,"97218",-71.39,41.84,-122.59,45.58,4070566.15777112,4070566.15777112,"20.9215","90","no"
"49","02909",1,"97218",-71.45,41.82,-122.59,45.58,4066904.98750731,4066904.98750731,"20.9215","90","no"
"50","03431",2,"97218",-72.3,43,-122.59,45.58,3951504.96034977,7903009.92069953,"20.9215","90","no"
"51","03801",1,"97218",-70.8,43.07,-122.59,45.58,4061595.62195677,4061595.62195677,"20.9215","90","no"
"52","03820",1,"97218",-70.89,43.19,-122.59,45.58,4049768.35615224,4049768.35615224,"20.9215","90","no"
"53","03833",1,"97218",-71,43,-122.59,45.58,4049510.87658673,4049510.87658673,"20.9215","90","no"
"54","04530",1,"97218",-69.8,43.9,-122.59,45.58,4101886.78572597,4101886.78572597,"20.9215","90","no"
"55","04609",1,"97218",-68.3,44.4,-122.59,45.58,4192807.51152215,4192807.51152215,"20.9215","90","no"
"56","04640",1,"97218",-68.3,44.53,-122.59,45.58,4187509.80989226,4187509.80989226,"20.9215","90","no"
