ZIP.x,NUMB,ZIP_END,lng_start,lat_start,lng_end,lat_end,distance_metres,zip_tot_dist,distance_reed_pdx,co2_emission_air_km,portland_native,num,car_fuel_econ,international,pdx_airport,distance_km,co2_emission_car_km,tot_co2_output,everyones_output,city,abb_state,state,ZCTA,Population,Density,Primary Official County Code,Primary Official County Name,County Weights,Official County Name,Official County Code,Imprecise,Military,Timezone,Geo Point
2720,1,97218,-71.1,41.72,-122.59,45.58,4097984.025641902,4097.98,20.9215,90,no,44,10.93,no,PDX,4097.98,251.03,374070.12414499995,269186314.7768758,Fall River,MA,Massachusetts,TRUE,30160,1071.4,25005,Bristol,"{""25005"": ""100""}",Bristol,25005,FALSE,FALSE,America/New_York,"41.73286, -71.11808"
2740,1,97218,-70.94,41.64,-122.59,45.58,4113758.910255936,4113.76,20.9215,90,no,45,10.93,no,PDX,4113.76,251.03,375490.324145,269186314.7768758,New Bedford,MA,Massachusetts,TRUE,43454,2950.9,25005,Bristol,"{""25005"": ""100""}",Bristol,25005,FALSE,FALSE,America/New_York,"41.63787, -70.93814"
2889,1,97218,-71.39,41.7,-122.59,45.58,4076854.4282769207,4076.85,20.9215,90,no,46,10.93,no,PDX,4076.85,251.03,372168.424145,269186314.7768758,Warwick,RI,Rhode Island,TRUE,27807,1234.4,44003,Kent,"{""44003"": ""100""}",Kent,44003,FALSE,FALSE,America/New_York,"41.7057, -71.39206"
2905,1,97218,-71.4,41.79,-122.59,45.58,4072047.4597225473,4072.05,20.9215,90,no,47,10.93,no,PDX,4072.05,251.03,371736.424145,269186314.7768758,Providence,RI,Rhode Island,TRUE,26174,2747.1,44007,Providence,"{""44007"": ""100""}",Providence,44007,FALSE,FALSE,America/New_York,"41.78722, -71.39886"
2906,1,97218,-71.39,41.84,-122.59,45.58,4070566.157771118,4070.57,20.9215,90,no,48,10.93,no,PDX,4070.57,251.03,371603.224145,269186314.7768758,Providence,RI,Rhode Island,TRUE,27825,3315.6,44007,Providence,"{""44007"": ""100""}",Providence,44007,FALSE,FALSE,America/New_York,"41.83917, -71.38994"
2909,1,97218,-71.45,41.82,-122.59,45.58,4066904.9875073056,4066.9,20.9215,90,no,49,10.93,no,PDX,4066.9,251.03,371272.924145,269186314.7768758,Providence,RI,Rhode Island,TRUE,40809,4548.8,44007,Providence,"{""44007"": ""100""}",Providence,44007,FALSE,FALSE,America/New_York,"41.82025, -71.45146"
3431,2,97218,-72.3,43,-122.59,45.58,3951504.960349766,7903.01,20.9215,90,no,50,10.93,no,PDX,3951.5,251.03,360886.924145,269186314.7768758,Keene,NH,New Hampshire,TRUE,25148,163.5,33005,Cheshire,"{""33005"": ""100""}",Cheshire,33005,FALSE,FALSE,America/New_York,"42.96265, -72.29556"
3801,1,97218,-70.8,43.07,-122.59,45.58,4061595.621956767,4061.6,20.9215,90,no,51,10.93,no,PDX,4061.6,251.03,370795.924145,269186314.7768758,Portsmouth,NH,New Hampshire,TRUE,22488,365.3,33015,Rockingham,"{""33015"": ""100""}",Rockingham,33015,FALSE,FALSE,America/New_York,"43.07292, -70.8052"
3820,1,97218,-70.89,43.19,-122.59,45.58,4049768.3561522444,4049.77,20.9215,90,no,52,10.93,no,PDX,4049.77,251.03,369731.224145,269186314.7768758,Dover,NH,New Hampshire,TRUE,31629,440.1,33017,Strafford,"{""33017"": ""100""}",Strafford,33017,FALSE,FALSE,America/New_York,"43.18879, -70.88678"
3833,1,97218,-71,43,-122.59,45.58,4049510.8765867264,4049.51,20.9215,90,no,53,10.93,no,PDX,4049.51,251.03,369707.824145,269186314.7768758,Exeter,NH,New Hampshire,TRUE,22116,175.5,33015,Rockingham,"{""33015"": ""100""}",Rockingham,33015,FALSE,FALSE,America/New_York,"42.97477, -70.98917"
4530,1,97218,-69.8,43.9,-122.59,45.58,4101886.785725969,4101.89,20.9215,90,no,54,10.93,no,PDX,4101.89,251.03,374422.02414500003,269186314.7768758,Bath,ME,Maine,TRUE,10922,146.5,23023,Sagadahoc,"{""23023"": ""100""}",Sagadahoc,23023,FALSE,FALSE,America/New_York,"43.89158, -69.8306"
4609,1,97218,-68.3,44.4,-122.59,45.58,4192807.5115221464,4192.81,20.9215,90,no,55,10.93,no,PDX,4192.81,251.03,382604.824145,269186314.7768758,Bar Harbor,ME,Maine,TRUE,5470,50,23009,Hancock,"{""23009"": ""100""}",Hancock,23009,FALSE,FALSE,America/New_York,"44.38521, -68.27112"
4640,1,97218,-68.3,44.53,-122.59,45.58,4187509.809892259,4187.51,20.9215,90,no,56,10.93,no,PDX,4187.51,251.03,382127.824145,269186314.7768758,Hancock,ME,Maine,TRUE,2140,29.8,23009,Hancock,"{""23009"": ""100""}",Hancock,23009,FALSE,FALSE,America/New_York,"44.53848, -68.30374"
4679,1,97218,-68.34,44.28,-122.59,45.58,4194768.158542155,4194.77,20.9215,90,no,57,10.93,no,PDX,4194.77,251.03,382781.22414500004,269186314.7768758,Southwest Harbor,ME,Maine,TRUE,1491,41.9,23009,Hancock,"{""23009"": ""100""}",Hancock,23009,FALSE,FALSE,America/New_York,"44.27941, -68.3326"
5055,2,97218,-72.3,43.8,-122.59,45.58,3918921.351891333,7837.84,20.9215,90,no,58,10.93,no,PDX,3918.92,251.03,357954.724145,269186314.7768758,Norwich,VT,Vermont,TRUE,3230,30.3,50027,Windsor,"{""50027"": ""100""}",Windsor,50027,FALSE,FALSE,America/New_York,"43.75411, -72.31311"
5301,1,97218,-72.7,42.8,-122.59,45.58,3929634.253762051,3929.63,20.9215,90,no,59,10.93,no,PDX,3929.63,251.03,358918.624145,269186314.7768758,Brattleboro,VT,Vermont,TRUE,16200,41.7,50025,Windham,"{""50025"": ""100""}",Windham,50025,FALSE,FALSE,America/New_York,"42.84622, -72.66073"
5462,1,97218,-73,44.3,-122.59,45.58,3846978.8595572505,3846.98,20.9215,90,no,60,10.93,no,PDX,3846.98,251.03,351480.124145,269186314.7768758,Huntington,VT,Vermont,TRUE,1966,20,50007,Chittenden,"{""50007"": ""100""}",Chittenden,50007,FALSE,FALSE,America/New_York,"44.30058, -72.9538"
5465,1,97218,-72.9,44.5,-122.59,45.58,3846874.9539110144,3846.87,20.9215,90,no,61,10.93,no,PDX,3846.87,251.03,351470.224145,269186314.7768758,Jericho,VT,Vermont,TRUE,5368,47.6,50007,Chittenden,"{""50007"": ""100""}",Chittenden,50007,FALSE,FALSE,America/New_York,"44.46831, -72.94993"
6069,1,97218,-73.44,41.86,-122.59,45.58,3913711.172510781,3913.71,20.9215,90,no,62,10.93,no,PDX,3913.71,251.03,357485.824145,269186314.7768758,Sharon,CT,Connecticut,TRUE,2342,18.1,9005,Litchfield,"{""09005"": ""100""}",Litchfield,9005,FALSE,FALSE,America/New_York,"41.85432, -73.44722"
6355,1,97218,-71.98,41.37,-122.59,45.58,4046893.569470466,4046.89,20.9215,90,no,63,10.93,no,PDX,4046.89,251.03,369472.024145,269186314.7768758,Mystic,CT,Connecticut,TRUE,12628,346.8,9011,New London,"{""09011"": ""100""}",New London,9011,FALSE,FALSE,America/New_York,"41.36786, -71.97419"
6405,1,97218,-72.8,41.28,-122.59,45.58,3988408.790907589,3988.41,20.9215,90,no,64,10.93,no,PDX,3988.41,251.03,364208.82414499996,269186314.7768758,Branford,CT,Connecticut,TRUE,27711,503.4,9009,New Haven,"{""09009"": ""100""}",New Haven,9009,FALSE,FALSE,America/New_York,"41.28319, -72.79795"
6410,1,97218,-72.91,41.51,-122.59,45.58,3969637.785711119,3969.64,20.9215,90,no,65,10.93,no,PDX,3969.64,251.03,362519.524145,269186314.7768758,Cheshire,CT,Connecticut,TRUE,29050,344.3,9009,New Haven,"{""09009"": ""100""}",New Haven,9009,FALSE,FALSE,America/New_York,"41.51172, -72.90425"
6482,1,97218,-73.25,41.41,-122.59,45.58,3948163.652335045,3948.16,20.9215,90,no,66,10.93,no,PDX,3948.16,251.03,360586.32414499996,269186314.7768758,Sandy Hook,CT,Connecticut,TRUE,11251,213.1,9001,Fairfield,"{""09001"": ""100""}",Fairfield,9001,FALSE,FALSE,America/New_York,"41.40665, -73.24489"
6840,1,97218,-73.5,41.16,-122.59,45.58,3940329.9359290786,3940.33,20.9215,90,no,67,10.93,no,PDX,3940.33,251.03,359881.624145,269186314.7768758,New Canaan,CT,Connecticut,TRUE,20276,352.7,9001,Fairfield,"{""09001"": ""100""}",Fairfield,9001,FALSE,FALSE,America/New_York,"41.1592, -73.49917"
6880,1,97218,-73.34,41.14,-122.59,45.58,3953482.7625801167,3953.48,20.9215,90,no,68,10.93,no,PDX,3953.48,251.03,361065.124145,269186314.7768758,Westport,CT,Connecticut,TRUE,28376,544.5,9001,Fairfield,"{""09001"": ""100""}",Fairfield,9001,FALSE,FALSE,America/New_York,"41.14286, -73.34746"
7028,1,97218,-74.21,40.81,-122.59,45.58,3901878.0285721556,3901.88,20.9215,90,no,69,10.93,no,PDX,3901.88,251.03,356421.124145,269186314.7768758,Glen Ridge,NJ,New Jersey,TRUE,7724,2320.3,34013,Essex,"{""34013"": ""100""}",Essex,34013,FALSE,FALSE,America/New_York,"40.80407, -74.20433"
7047,1,97218,-74.02,40.79,-122.59,45.58,3917380.2945109666,3917.38,20.9215,90,no,70,10.93,no,PDX,3917.38,251.03,357816.124145,269186314.7768758,North Bergen,NJ,New Jersey,TRUE,61619,4581.4,34017,Hudson,"{""34017"": ""100""}",Hudson,34017,FALSE,FALSE,America/New_York,"40.79358, -74.02613"
7076,1,97218,-74.37,40.64,-122.59,45.58,3897419.560493231,3897.42,20.9215,90,no,71,10.93,no,PDX,3897.42,251.03,356019.724145,269186314.7768758,Scotch Plains,NJ,New Jersey,TRUE,24162,1035.7,34039,Union,"{""34039"": ""100""}",Union,34039,FALSE,FALSE,America/New_York,"40.63304, -74.37392"
7090,1,97218,-74.35,40.65,-122.59,45.58,3898494.2023508465,3898.49,20.9215,90,no,72,10.93,no,PDX,3898.49,251.03,356116.024145,269186314.7768758,Westfield,NJ,New Jersey,TRUE,29856,1711.1,34039,Union,"{""34039"": ""100""}",Union,34039,FALSE,FALSE,America/New_York,"40.65154, -74.34327"
7722,1,97218,-74.16,40.29,-122.59,45.58,3929898.4335904145,3929.9,20.9215,90,no,73,10.93,no,PDX,3929.9,251.03,358942.924145,269186314.7768758,Colts Neck,NJ,New Jersey,TRUE,10089,106.2,34025,Monmouth,"{""34025"": ""100""}",Monmouth,34025,FALSE,FALSE,America/New_York,"40.28487, -74.16954"
7728,1,97218,-74.3,40.2,-122.59,45.58,3923369.126501324,3923.37,20.9215,90,no,74,10.93,no,PDX,3923.37,251.03,358355.224145,269186314.7768758,Freehold,NJ,New Jersey,TRUE,55088,437.4,34025,Monmouth,"{""34025"": ""100""}",Monmouth,34025,FALSE,FALSE,America/New_York,"40.22544, -74.2854"
7853,1,97218,-74.8,40.79,-122.59,45.58,3857480.481725468,3857.48,20.9215,90,no,75,10.93,no,PDX,3857.48,251.03,352425.124145,269186314.7768758,Long Valley,NJ,New Jersey,TRUE,12915,146.8,34027,Morris,"{""34027"": ""100""}",Morris,34027,FALSE,FALSE,America/New_York,"40.78499, -74.78545"
7866,1,97218,-74.5,40.94,-122.59,45.58,3873679.0491020256,3873.68,20.9215,90,no,76,10.93,no,PDX,3873.68,251.03,353883.124145,269186314.7768758,Rockaway,NJ,New Jersey,TRUE,23003,400.2,34027,Morris,"{""34027"": ""100""}",Morris,34027,FALSE,FALSE,America/New_York,"40.95384, -74.49016"
7901,1,97218,-74.36,40.71,-122.59,45.58,3894957.5820966223,3894.96,20.9215,90,no,77,10.93,no,PDX,3894.96,251.03,355798.324145,269186314.7768758,Summit,NJ,New Jersey,TRUE,23567,1435.2,34039,Union,"{""34039"": ""100""}",Union,34039,FALSE,FALSE,America/New_York,"40.71468, -74.36592"
