zip,num,distance_air,state,international,distance_km,mode,distance_car,portland_native,total_emission_air,total_emission_car,ind_emission_gas,ind_emission_electric,state_emission,state_emission_per_cap,SCC_IWG,SCC_state_emission_per_cap,SCC_state_emission
98105,4,0,WA,no,232.6,Drive,243.7312,Non-Native,0,0.24473984316598735,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98110,4,0,WA,no,224.97,Drive,235.90757000000002,Non-Native,0,0.2368838363060174,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98112,4,0,WA,no,228.17,Drive,239.3109,Non-Native,0,0.24030125045095285,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98115,5,0,WA,no,234.89,Drive,246.02408,Non-Native,0,0.24704221188857364,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98116,2,0,WA,no,223.11,Drive,234.16419,Non-Native,0,0.23513324160259522,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98117,3,0,WA,no,235.43,Drive,246.47607,Non-Native,0,0.24749607237796767,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98118,1,0,WA,no,220.75,Drive,231.94369,Non-Native,0,0.23290355241323388,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98122,1,0,WA,no,227.06,Drive,238.20598999999999,Non-Native,0,0.2391917679550207,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98125,3,0,WA,no,239.25,Drive,250.36348999999998,Non-Native,0,0.25139957985308914,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98133,2,0,WA,no,241.21,Drive,252.27731,Non-Native,0,0.2533213198955947,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98144,2,0,WA,no,223.74,Drive,234.89165,Non-Native,0,0.2358637120811779,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98155,1,0,WA,no,243.62,Drive,254.70909,Non-Native,0,0.25576316343394423,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
