,,portland_native,airplane_distance,international,pdx_airport,distance_km
395,395,no,,no,PDX,3312.26
396,396,no,,no,PDX,3305.32
397,397,no,,no,PDX,3154.61
398,398,no,,no,PDX,2819.23
399,399,no,,no,PDX,2603.21
400,400,no,,no,PDX,2576.08
401,401,no,,no,PDX,2406.01
402,402,no,,no,PDX,2382.88
403,403,no,,no,PDX,2380.28
404,404,no,,no,PDX,2380.07
405,405,no,,no,PDX,2462.4
406,406,no,,no,PDX,2472.84
407,407,no,,no,PDX,2465.75
408,408,no,,no,PDX,2616.45
409,409,no,,no,PDX,2587.2
410,410,no,,no,PDX,2618.15
411,411,no,,no,PDX,2612.97
412,412,no,,no,PDX,2602.88
413,413,no,,no,PDX,2615
414,414,no,,no,PDX,2604.99
415,415,no,,no,PDX,2627.19
416,416,no,,no,PDX,2618.61
417,417,no,,no,PDX,2609.31
418,418,no,,no,PDX,2586.47
419,419,no,,no,PDX,2586.09
420,420,no,,no,PDX,2590.23
421,421,no,,no,PDX,2591.93
422,422,no,,no,PDX,2951.03
423,423,no,,no,PDX,2965.22
424,424,no,,no,PDX,2956.74
425,425,no,,no,PDX,2941.61
426,426,no,,no,PDX,2953.45
427,427,no,,no,PDX,2939.28
428,428,no,,no,PDX,2980.36
429,429,no,,no,PDX,2966.16
430,430,no,,no,PDX,2934.17
431,431,no,,no,PDX,2947.65
432,432,no,,no,PDX,2950.25
433,433,no,,no,PDX,2915.85
434,434,no,,no,PDX,2918.62
435,435,no,,no,PDX,2934.17
436,436,no,,no,PDX,2948.31
437,437,no,,no,PDX,2737.2
438,438,no,,no,PDX,2763.53
439,439,no,,no,PDX,2745.95
440,440,no,,no,PDX,2737.74
441,441,no,,no,PDX,2745.45
442,442,no,,no,PDX,2750.76
443,443,no,,no,PDX,2740.71
444,444,no,,no,PDX,2729.68
445,445,no,,no,PDX,2749.76
446,446,no,,no,PDX,2741.96
447,447,no,,no,PDX,2752.37
448,448,no,,no,PDX,2747.26
449,449,no,,no,PDX,2745.12
450,450,no,,no,PDX,2738.13
451,451,no,,no,PDX,2091.28
452,452,no,,no,PDX,2211.63
453,453,no,,no,PDX,2060.88
454,454,no,,no,PDX,2054.2
455,455,no,,no,PDX,1597.03
456,456,no,,no,PDX,1602.62
457,457,no,,no,PDX,1552.62
458,458,no,,no,PDX,1566.45
459,459,no,,no,PDX,1603.01
460,460,no,,no,PDX,1591.31
461,461,no,,no,PDX,1595.27
462,462,no,,no,PDX,1582.66
463,463,no,,no,PDX,1585.79
464,464,no,,no,PDX,1587.49
465,465,no,,no,PDX,1581.73
466,466,no,,no,PDX,1586.07
467,467,no,,no,PDX,1611.23
468,468,no,,no,PDX,1579.79
469,469,no,,no,PDX,1578.68
470,470,no,,no,PDX,1581.84
471,471,no,,no,PDX,1570.15
472,472,no,,no,PDX,1582.75
473,473,no,,no,PDX,1573.13
474,474,no,,no,PDX,1582.19
475,475,no,,no,PDX,1585.16
476,476,no,,no,PDX,1582.94
477,477,no,,no,PDX,1542.86
478,478,no,,no,PDX,1526.02
479,479,no,,no,PDX,1546.48
480,480,no,,no,PDX,1536.91
481,481,no,,no,PDX,1542.96
482,482,no,,no,PDX,1549.97
483,483,no,,no,PDX,1503.94
484,484,no,,no,PDX,1524.06
485,485,no,,no,PDX,1535.52
486,486,no,,no,PDX,1520.42
487,487,no,,no,PDX,1524.66
488,488,no,,no,PDX,1532.26
489,489,no,,no,PDX,1520.61
490,490,no,,no,PDX,1624.41
491,491,no,,no,PDX,1641.01
492,492,no,,no,PDX,1640.29
493,493,no,,no,PDX,1644.17
494,494,no,,no,PDX,1653.14
495,495,no,,no,PDX,1651.4
496,496,no,,no,PDX,1530.6
497,497,no,,no,PDX,1438.04
498,498,no,,no,PDX,1447.51
499,499,no,,no,PDX,1519.23
500,500,no,,no,PDX,1430.37
501,501,no,,no,PDX,1142.36
502,502,no,,no,PDX,692.79
503,503,no,,no,PDX,537.75
504,504,no,,no,PDX,546.46
505,505,no,,no,PDX,547.68
506,506,no,,no,PDX,456.13
507,507,no,,no,PDX,1081.34
508,508,no,,no,PDX,1050.53
509,509,no,,no,PDX,1021.83
510,510,no,,no,PDX,1023.11
511,511,no,,no,PDX,1031.29
512,512,no,,no,PDX,1036.71
513,513,no,,no,PDX,1031.8
514,514,no,,no,PDX,1620.54
515,515,no,,no,PDX,1624.34
516,516,no,,no,PDX,1619.65
517,517,no,,no,PDX,1615.29
518,518,no,,no,PDX,1616.24
519,519,no,,no,PDX,1617.66
520,520,no,,no,PDX,1607.82
521,521,no,,no,PDX,1625.88
522,522,no,,no,PDX,1601.91
523,523,no,,no,PDX,1586.64
524,524,no,,no,PDX,1637.22
525,525,no,,no,PDX,1617.65
526,526,no,,no,PDX,1629.11
527,527,no,,no,PDX,1635.33
528,528,no,,no,PDX,1591.44
529,529,no,,no,PDX,1783.13
530,530,no,,no,PDX,1789.81
531,531,no,,no,PDX,1470.99
532,532,no,,no,PDX,1505.78
533,533,no,,no,PDX,1795.05
534,534,no,,no,PDX,1765.75
535,535,no,,no,PDX,1742.7
536,536,no,,no,PDX,1778.94
537,537,no,,no,PDX,1786.58
538,538,no,,no,PDX,1787.05
539,539,no,,no,PDX,1781.97
540,540,no,,no,PDX,1789.61
541,541,no,,no,PDX,1767.77
542,542,no,,no,PDX,1838.91
543,543,no,,no,PDX,2010.03
544,544,no,,no,PDX,1862.18
545,545,no,,no,PDX,1245.37
546,546,no,,no,PDX,1209.51
547,547,no,,no,PDX,1236.3
548,548,no,,no,PDX,1220.82
549,549,no,,no,PDX,1211.11
550,550,no,,no,PDX,1197.52
551,551,no,,no,PDX,1235.27
552,552,no,,no,PDX,1218.7
553,553,no,,no,PDX,1219.53
554,554,no,,no,PDX,1224.49
555,555,no,,no,PDX,1236.82
556,556,no,,no,PDX,722.41
557,557,no,,no,PDX,1330.9
558,558,no,,no,PDX,1335.14
559,559,no,,no,PDX,1333.44
560,560,no,,no,PDX,1332.07
561,561,no,,no,PDX,1333.02
562,562,no,,no,PDX,1333.97
563,563,no,,no,PDX,1334.22
564,564,no,,no,PDX,1331.05
565,565,no,,no,PDX,1330.5
566,566,no,,no,PDX,1330.37
567,567,no,,no,PDX,1325.5
568,568,no,,no,PDX,1332.47
569,569,no,,no,PDX,1336.78
570,570,no,,no,PDX,1325.05
571,571,no,,no,PDX,1325.54
572,572,no,,no,PDX,1339.17
573,573,no,,no,PDX,1326.22
574,574,no,,no,PDX,1330.99
575,575,no,,no,PDX,1352.13
576,576,no,,no,PDX,1349.33
577,577,no,,no,PDX,1325.69
578,578,no,,no,PDX,1356.04
579,579,no,,no,PDX,1323.07
580,580,no,,no,PDX,1337.19
581,581,no,,no,PDX,1341.84
582,582,no,,no,PDX,1334.81
583,583,no,,no,PDX,1355.86
584,584,no,,no,PDX,1351.8
585,585,no,,no,PDX,1357.42
586,586,no,,no,PDX,1359.18
587,587,no,,no,PDX,1355.59
588,588,no,,no,PDX,1369.11
589,589,no,,no,PDX,1363.25
590,590,no,,no,PDX,1362.52
591,591,no,,no,PDX,1365.75
592,592,no,,no,PDX,1320.13
593,593,no,,no,PDX,1331.75
594,594,no,,no,PDX,1319.51
595,595,no,,no,PDX,1331.35
596,596,no,,no,PDX,1331.22
597,597,no,,no,PDX,1324.53
598,598,no,,no,PDX,1325.75
599,599,no,,no,PDX,1328.72
600,600,no,,no,PDX,1325.49
601,601,no,,no,PDX,1321.07
602,602,no,,no,PDX,1320.47
603,603,no,,no,PDX,1315.33
604,604,no,,no,PDX,1309.44
605,605,no,,no,PDX,1317.71
606,606,no,,no,PDX,1309.93
607,607,no,,no,PDX,1305.27
608,608,no,,no,PDX,1287.4
609,609,no,,no,PDX,1316.82
610,610,no,,no,PDX,1309.03
611,611,no,,no,PDX,1291.95
612,612,no,,no,PDX,1317.36
613,613,no,,no,PDX,1320.6
614,614,no,,no,PDX,1330.59
615,615,no,,no,PDX,1359.11
616,616,no,,no,PDX,1337.21
617,617,no,,no,PDX,1347.42
618,618,no,,no,PDX,1348.69
619,619,no,,no,PDX,1344.73
620,620,no,,no,PDX,1344.93
621,621,no,,no,PDX,1522.5
622,622,no,,no,PDX,1505.74
623,623,no,,no,PDX,1476.61
624,624,no,,no,PDX,1467.81
625,625,no,,no,PDX,1495.82
626,626,no,,no,PDX,1456.38
627,627,no,,no,PDX,1450.76
628,628,no,,no,PDX,1501.95
629,629,no,,no,PDX,1504.09
630,630,no,,no,PDX,1501.18
631,631,no,,no,PDX,1494.76
632,632,no,,no,PDX,1495.02
633,633,no,,no,PDX,1503.56
634,634,no,,no,PDX,1501.95
635,635,no,,no,PDX,1494.75
636,636,no,,no,PDX,1499.3
637,637,no,,no,PDX,1496.35
638,638,no,,no,PDX,1473.96
639,639,no,,no,PDX,1479.81
640,640,no,,no,PDX,1380.8
641,641,no,,no,PDX,1391.57
642,642,no,,no,PDX,1383.57
643,643,no,,no,PDX,1386.54
644,644,no,,no,PDX,1389.5
645,645,no,,no,PDX,1388.8
646,646,no,,no,PDX,1383.33
647,647,no,,no,PDX,1400.65
648,648,no,,no,PDX,1400.83
649,649,no,,no,PDX,1388.51
650,650,no,,no,PDX,1434.54
651,651,no,,no,PDX,1399.88
652,652,no,,no,PDX,1396.41
653,653,no,,no,PDX,1379.53
654,654,no,,no,PDX,1362.53
655,655,no,,no,PDX,1362.6
656,656,no,,no,PDX,1360.79
657,657,no,,no,PDX,1290.49
658,658,no,,no,PDX,1266.48
659,659,no,,no,PDX,1265.53
660,660,no,,no,PDX,1255.91
661,661,no,,no,PDX,1262.97
662,662,no,,no,PDX,1261.39
663,663,no,,no,PDX,1285.79
664,664,no,,no,PDX,1167.64
665,665,no,,no,PDX,1120.04
666,666,no,,no,PDX,1259.71
667,667,no,,no,PDX,1003.07
668,668,no,,no,PDX,998.99
669,669,no,,no,PDX,898.67
670,670,no,,no,PDX,891.86
671,671,no,,no,PDX,915.78
672,672,no,,no,PDX,915.99
673,673,no,,no,PDX,904.56
674,674,no,,no,PDX,905.61
675,675,no,,no,PDX,914.48
676,676,no,,no,PDX,887.36
677,677,no,,no,PDX,913.77
678,678,no,,no,PDX,912.73
679,679,no,,no,PDX,885.03
680,680,no,,no,PDX,904.38
681,681,no,,no,PDX,910.91
682,682,no,,no,PDX,886.19
683,683,no,,no,PDX,899.85
684,684,no,,no,PDX,917.34
