
ZIP                                                         , NUMB                        
"97006"                                                     ,    3                        
"97007"                                                     ,    4                        
"97015"                                                     ,    1                        
"97024"                                                     ,    1                        
"97031"                                                     ,    1                        
"97034"                                                     ,    3                        
"97035"                                                     ,    3                        
"97038"                                                     ,    1                        
"97045"                                                     ,    3                        
"97051"                                                     ,    1                        
"97056"                                                     ,    1                        
"97058"                                                     ,    1                        
"97062"                                                     ,    1                        
"97068"                                                     ,    1                        
"97070"                                                     ,    1                        
"97078"                                                     ,    1                        
"97080"                                                     ,    1                        
"97086"                                                     ,    2                        
"97113"                                                     ,    1                        
"97116"                                                     ,    2                        
"97124"                                                     ,    1                        
"97128"                                                     ,    2                        
"97132"                                                     ,    1                        
"97146"                                                     ,    1                        
"97201"                                                     ,    3                        
"97202"                                                     ,   47                        
"97206"                                                     ,   17                        
"97209"                                                     ,    2                        
"97210"                                                     ,    2                        
"97211"                                                     ,    2                        
"97212"                                                     ,    2                        
"97213"                                                     ,    1                        
"97214"                                                     ,    5                        
"97215"                                                     ,    5                        
"97216"                                                     ,    1                        
"97217"                                                     ,    2                        
"97219"                                                     ,   10                        
"97220"                                                     ,    3                        
"97221"                                                     ,    1                        
"97222"                                                     ,    1                        
"97223"                                                     ,    2                        
"97225"                                                     ,    2                        
"97229"                                                     ,    6                        
"97230"                                                     ,    2                        
"97232"                                                     ,    3                        
"97236"                                                     ,    2                        
"97239"                                                     ,    1                        
"97266"                                                     ,    3                        
"97302"                                                     ,    2                        
"97304"                                                     ,    2                        
"97324"                                                     ,    1                        
"97330"                                                     ,    3                        
"97361"                                                     ,    1                        
"97370"                                                     ,    1                        
"97381"                                                     ,    1                        
"97385"                                                     ,    1                        
"97394"                                                     ,    1                        
"97404"                                                     ,    1                        
"97405"                                                     ,    5                        
"97420"                                                     ,    1                        
"97424"                                                     ,    1                        
"97456"                                                     ,    1                        
"97459"                                                     ,    1                        
"97471"                                                     ,    1                        
"97477"                                                     ,    1                        
"97504"                                                     ,    1                        
"97520"                                                     ,    3                        
"97526"                                                     ,    1                        
"97527"                                                     ,    2                        
"97530"                                                     ,    1                        
"97701"                                                     ,    1                        
"97702"                                                     ,    5                        
"97756"                                                     ,    1                        
"98004"                                                     ,    2                        
"98005"                                                     ,    1                        
"98006"                                                     ,    4                        
"98008"                                                     ,    2                        
"98011"                                                     ,    1                        
"98012"                                                     ,    4                        
"98021"                                                     ,    1                        
"98027"                                                     ,    2                        
"98036"                                                     ,    2                        
"98039"                                                     ,    1                        
"98040"                                                     ,    2                        
"98045"                                                     ,    1                        
"98050"                                                     ,    1                        
"98052"                                                     ,    1                        
"98059"                                                     ,    2                        
"98070"                                                     ,    2                        
"98072"                                                     ,    2                        
"98073"                                                     ,    1                        
"98074"                                                     ,    1                        
"98075"                                                     ,    1                        
"98077"                                                     ,    3                        
"98101"                                                     ,    1                        
"98103"                                                     ,    2                        
"98105"                                                     ,    4                        
